Spec,Spec level,Matrix time,Search time,Total time
1d-conv,1,2.743415699,0.009279701,2.7526954
1d-conv,2,1.483558285,0.013047198,1.496605483
1d-conv,3,3.025233247,0.012880319,3.038113566
1d-stencil,1,0.010808887,0.002845016,0.013653903
1d-stencil,2,0.010889875,0.00300756,0.013897435
1d-stencil,3,0.012160946,0.004036542,0.016197488
2d-stencil-3,1,6.768994534,0.003806032,6.772800566
2d-stencil-3,2,0.740029,0.003625046,0.743654046
2d-stencil-3,3,6.869744107,0.003258727,6.873002834
mult-32-with-4,1,0.043343868,0.011719289,0.055063157
mult-32-with-4,2,0.024729844,0.009488042,0.034217886
mult-32-with-4,3,0.009077214,0.009014925,0.018092139
trove-crc-1,1,0.068107107,0.00022115,0.068328257
trove-crc-1,3,0.04514594,0.000205723,0.045351663
trove-crc-2,1,2.175998812,0.008023984,2.184022796
trove-crc-2,3,2.63619194,0.010662524,2.646854464
trove-crc-3,1,20.86995438,0.017971517,20.887925897
trove-crc-3,3,21.179613744,0.022826204,21.202439948
trove-crc-4,1,130.152172387,0.064070801,130.216243188
trove-crc-4,3,134.608979834,0.099798374,134.708778208
trove-cr_sum-1,1,486.457304339,0.000287609,486.457591948
trove-cr_sum-1,3,0.083212109,0.000555383,0.083767492
trove-cr_sum-2,1,0.383731773,0.012124896,0.395856669
trove-cr_sum-2,3,0.328901558,0.015533396,0.344434954
trove-cr_sum-3,1,1.517718077,0.016947297,1.534665374
trove-cr_sum-3,3,1.605367803,0.02250487,1.627872673
trove-cr_sum-4,1,5.042640058,0.198632945,5.241273003
trove-cr_sum-4,3,4.942212915,0.3373282,5.279541115
trove-cr_sum-5,1,11.787146753,0.028021725,11.815168478
trove-cr_sum-5,3,11.589313538,0.038713142,11.62802668
trove-rcr-1,1,41.773715625,0.004225775,41.7779414
trove-rcr-1,3,0.060033552,0.01068143,0.070714982
trove-rcr-2,1,1.969414776,0.156941713,2.126356489
trove-rcr-2,3,2.014387241,1.62855956,3.642946801
trove-rcr-3,1,22.927642863,0.061080208,22.988723071
trove-rcr-3,3,21.802450553,0.12317082,21.925621373
trove-rcr-4,1,120.537770501,0.403479907,120.941250408
trove-rcr-4,3,119.834232163,4.546395092,124.380627255
1d-wconv-32x3-no-accum-cond,0,696.551908552,0.625600504,697.177509056
