Event,Matrix name,Set entries,Total entries,Density,Time needed
build,"32-cond_keep_no_consts-32,3",9216,9437184,0.0009765625,0.00327989
load,"32,3-row_rots_no_group-32,3",27648,84934656,0.0003255208333333333,0.028895542
mul,"32-cond_keep_no_consts_32,3-row_rots_no_group-32,3",9216,9437184,0.0009765625,0.332109706
load,"32,3-col_rots_no_group-32,3",294912,84934656,0.003472222222222222,0.028496142
mul,"32-cond_keep_no_consts_32,3-col_rots_no_group-32,3",294912,9437184,0.03125,0.333519997
load,"32,3-col_xforms_no_group-32,3",3702272,84934656,0.043589650848765434,0.028328165
mul,"32-cond_keep_no_consts_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",8327936,9437184,0.8824598524305556,1.5073643620000001
build,"32-cond_keep_no_consts-32,4",16384,16777216,0.0009765625,0.005237779
load,"32,4-row_rots_no_group-32,4",65536,268435456,0.000244140625,0.090173599
mul,"32-cond_keep_no_consts_32,4-row_rots_no_group-32,4",16384,16777216,0.0009765625,0.949283603
load,"32,4-col_rots_no_group-32,4",524288,268435456,0.001953125,0.090061252
mul,"32-cond_keep_no_consts_32,4-col_rots_no_group-32,4",524288,16777216,0.03125,0.969783887
load,"32,4-col_xforms_no_group-32,4",9943488,268435456,0.03704237937927246,0.090631274
mul,"32-cond_keep_no_consts_32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",15453952,16777216,0.9211273193359375,4.01816307
build,"32-cond_keep_no_consts-32,5",25600,26214400,0.0009765625,0.008313591
load,"32,5-row_rots_no_group-32,5",128000,655360000,0.0001953125,0.218563421
mul,"32-cond_keep_no_consts_32,5-row_rots_no_group-32,5",25600,26214400,0.0009765625,2.302801333
load,"32,5-col_rots_no_group-32,5",819200,655360000,0.00125,0.219061411
mul,"32-cond_keep_no_consts_32,5-col_rots_no_group-32,5",819200,26214400,0.03125,2.245284531
load,"32,5-col_xforms_no_group-32,5",10827088,655360000,0.0165208251953125,0.217013236
mul,"32-cond_keep_no_consts_32,5-col_rots_no_group_32,5-col_xforms_no_group-32,5",24130304,26214400,0.920498046875,9.653870439
