matrix,transpose_inputs,transpose_outputs,time
"32,2-row_rots_no_group_32,2-row_xforms_no_group-32,2",,,0.073813446
"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group-32,2",,,0.075119295
"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group_32,2-col_xforms_no_group-32,2",,,0.169426904
"32,2-row_rots_no_group_32,2-row_xforms_no_group_32,2-col_rots_no_group_32,2-col_xforms_no_group_32,2-row_rots_no_group-32,2",0.391357295,0.187798829,0.653526919
"32,3-row_rots_no_group_32,3-row_xforms_no_group-32,3",,,0.368316055
"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group-32,3",,,0.385792247
"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group-32,3",,,1.335861246
"32,3-row_rots_no_group_32,3-row_xforms_no_group_32,3-col_rots_no_group_32,3-col_xforms_no_group_32,3-row_rots_no_group-32,3",2.149522853,1.062104507,3.58081427
"32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",,,1.160644072
"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",,,1.275982546
"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",,,6.339183304
"32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",7.142517048,3.525583832,11.835015076
"32,4-col_rots_no_group_32,4-col_xforms_no_group-32,4",,,1.489537347
"32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group-32,4",7.189112863,3.591793064,11.947139265
"32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group_32,4-row_xforms_no_group-32,4",7.176900989,3.553665465,11.998940736
"32,4-col_rots_no_group_32,4-col_xforms_no_group_32,4-row_rots_no_group_32,4-row_xforms_no_group_32,4-col_rots_no_group-32,4",7.08598518,3.576843615,12.16436244
"32-col_rots_no_group_32,5-col_xforms_no_group-32,5",,,0.974278823
"32-col_rots_no_group_32,5-col_xforms_no_group_32,5-row_rots_no_group-32,5",9.548962881,0.256259909,12.466887891
"32-col_rots_no_group_32,7-col_xforms_no_group-32,7",,,3.4599759580000002
"32-col_rots_no_group_32,7-col_xforms_no_group_32,7-row_rots_no_group-32,7",40.05552369,0.480569051,50.668368877
"32,5-row_rots_no_group_32,5-row_xforms_no_group-32,5",,,2.8355173369999997
"32,5-row_rots_no_group_32,5-row_xforms_no_group_32,5-col_rots_no_group-32,5",,,3.294151165
"32,5-row_rots_no_group_32,5-row_xforms_no_group_32,5-col_rots_no_group_32,5-col_xforms_no_group-32,5",18.578398785,9.076871826,41.785688115
"32,5-row_rots_no_group_32,5-row_xforms_no_group_32,5-col_rots_no_group_32,5-col_xforms_no_group_32,5-row_rots_no_group-32,5",18.53698799,9.104611801,30.485986977
