Problem,Level,Swizzleflow,Swizzle Inventor
"Convolution (weights, k=3)",R,0.031461317,9.073
"Convolution (no weights, k=3)",R,0.675477174,6.753
2D stencil (k=3),R,0.054930386,21.16
2D stencil (k=5),R,0.885402215,65.945
"Trove (Sum, s=1)",R,0.003719647,0.28
"Trove (Sum, s=2)",R,0.942497125,0.714
"Trove (Sum, s=3)",R,2.081023347,2.04
"Trove (Sum, s=4)",R,5.911603711,2.3
"Trove (Sum, s=5)",R,6.181364455000001,4.78
"Trove (Sum, s=7)",R,13.12863965,7.964
"Trove (CRC, s=1)",R,0.004441306000000001,0.123
"Trove (CRC, s=2)",R,0.540915936,0.342
"Trove (CRC, s=3)",R,2.0286938880000003,1.078
"Trove (CRC, s=4)",R,12.892065145,0.782
"Trove (CRC, s=5)",R,14.013358808,2.138
"Trove (CRC, s=7)",R,53.122799058,11.062
"Trove (RCR, s=1)",R,0.029610443,0.314
"Trove (RCR, s=2)",R,1.565848727,1.935
"Trove (RCR, s=3)",R,2.302263915,5.715
"Trove (RCR, s=4)",R,6.5017778439999985,6.21
"Trove (RCR, s=5)",R,11.218168213,10.757
"Trove (RCR, s=7)",R,29.898474059,20.087
"Convolution (weights, k=3)",FC,0.04645358,10.751
"Convolution (no weights, k=3)",FC,1.728112513,11.641
2D stencil (k=3),FC,0.152238084,45.934
2D stencil (k=7),FC,120.674700336,851.822
"Convolution (weights, k=3)",F,0.057485721000000004,22.879
"Convolution (no weights, k=3)",F,0.7220967209999999,15.864
2D stencil (k=3),F,0.122200048,51.497
2D stencil (k=5),F,1.322569679,577.11
2D stencil (k=7),F,17.973515833,
"Trove (Sum, s=1)",F,0.006608064,8.917
"Trove (Sum, s=2)",F,1.240090371,15.199
"Trove (Sum, s=3)",F,2.888873792,23.979
"Trove (Sum, s=4)",F,8.227384209,34.639
"Trove (Sum, s=5)",F,9.059962200000001,49.717
"Trove (CRC, s=1)",F,0.006668626999999999,3.974
"Trove (CRC, s=2)",F,0.5829314250000001,8.742
"Trove (CRC, s=3)",F,3.647412454,17.039
"Trove (CRC, s=4)",F,15.192690072,20.663
"Trove (CRC, s=5)",F,15.334141699,120.18
"Trove (CRC, s=7)",F,57.81389468500001,143.733
"Trove (RCR, s=1)",F,0.054659869,9.618
"Trove (RCR, s=2)",F,4.317473818,1540.175
"Trove (RCR, s=3)",F,2.929424633,
"Trove (RCR, s=5)",F,16.244238103,
"Trove (RCR, s=7)",F,41.170797895,
